"address","categoryName","city","countryCode","imageUrls/0","isAdvertisement","locatedIn","location/lat","location/lng","neighborhood","orderBy/0/name","orderBy/0/url","orderBy/1/name","orderBy/1/url","orderBy/2/name","orderBy/2/url","permanentlyClosed","phone","placeId","plusCode","postalCode","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"50 Av. Pierre Mendès-France, 75013 Paris, France","Restaurant français","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOzL6zQ7Y8zH4L3jeWFy2fgz8C9Vfm8rp7hjm7S=w1920-h1080-k-no","false",,"48.839743","2.3695963","50 Av. Pierre Mendès-France",,,,,,,"false","+33 1 44 24 11 39","ChIJH4yylh5y5kcR8afKqMy9syo","R9Q9+VR Paris, France","75013","143","125","38","44","18","18","7","2021-08-07T16:52:30.678Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"50 Av. Pierre Mendès-France",,"false","Vaux Hall","3.6","https://www.google.com/maps/place/Vaux+Hall/@48.8397466,2.3674152,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6721e96b28c1f:0x2ab3bdcca8caa7f1!8m2!3d48.839743!4d2.3695963?hl=fr",
"9 Rue Quincampoix, 75004 Paris, France","Bar à bières","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOzKIZ2R4VsBbW105m_RuMmyas3ychMoSHoXuis=w1920-h1080-k-no","true",,"48.8595319","2.3495324","9 Rue Quincampoix","tastycloud.fr","https://clicks.tastycloud.fr/#/109ee49efdfeaa011a6e055f5d71a844559042ea6dd91c4ef758f3ba2094c8a4/",,,,,"false","+33 1 42 78 23 50","ChIJ-yt9kB5u5kcR44-zfZD-i7A","V85X+RR Paris, France","75004","142","727","399","221","24","70","13","2021-08-07T16:52:39.125Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8360839,2.3281249,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"9 Rue Quincampoix",,"false","L'Imprévu Café","4.3","https://www.google.com/maps/place/L'Impr%C3%A9vu+Caf%C3%A9/@48.8595204,2.347383,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1e907d2bfb:0xb08bfe907db38fe3!8m2!3d48.8595319!4d2.3495324?hl=fr","imprevu-cafe.fr"
"86 Quai d'Austerlitz, 75013 Paris, France","","Paris","FR","https://lh3.googleusercontent.com/proxy/Yezl2LFOhw9Jza_HYi2dsVNysHYfZ4UHAJQTv4Sm5zFvCP2OnwMWz4oKPWHnJpAbQv7y7Hyx7HrSSCG-jiFmKW9fV1j8IUxqj0hC3uFyOpEoXcWKtFmmxpmCrS4UzooMYUZi9X21GsDRmMTWry_MBl3wLP_3qKQ=w1920-h1080-k-no","false",,"48.8426803","2.3680222","86 Quai d'Austerlitz",,,,,,,"false","+33 1 44 06 62 65","ChIJadzWNxly5kcRTD3f4D71ZJU","R9V9+36 Paris, France","75013","142","1250","651","356","85","119","39","2021-08-07T16:52:45.590Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"86 Quai d'Austerlitz",,"false","OFF Paris Seine","4.2","https://www.google.com/maps/place/OFF+Paris+Seine/@48.8427322,2.3659228,17z/data=!3m1!4b1!4m8!3m7!1s0x47e6721937d6dc69:0x9564f53ee0df3d4c!5m2!4m1!1i2!8m2!3d48.8426803!4d2.3680222?hl=fr","offparisseine.com"
"2 Rue Jeanne d'Arc, 75013 Paris, France","Bureau de tabac","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipMuMh9we8EI3bung9amUou5GkSHHXMz5BVgSEVI=w1920-h1080-k-no","false",,"48.8287849","2.3699841","2 Rue Jeanne d'Arc",,,,,,,"false","+33 1 45 83 02 20","ChIJj72TnCZy5kcRfbVOLHOb_Ys","R9H9+GX Paris, France","75013","142","50","25","3","15","7","0","2021-08-07T16:52:52.576Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"2 Rue Jeanne d'Arc",,"false","Le Jeanne D’arc • BAR • BRASSERIE • Boutique CBD • Cigarette Electronique • CAVE À CIGARE •","3.5","https://www.google.com/maps/place/Le+Jeanne+D%E2%80%99arc+%E2%80%A2+BAR+%E2%80%A2+BRASSERIE+%E2%80%A2+Boutique+CBD+%E2%80%A2+Cigarette+Electronique+%E2%80%A2+CAVE+%C3%80+CIGARE+%E2%80%A2/@48.8287849,2.3677954,17z/data=!3m1!4b1!4m5!3m4!1s0x47e672269c93bd8f:0x8bfd9b732c4eb57d!8m2!3d48.8287849!4d2.3699841?hl=fr",
"3 Pl. nationale, 75013 Paris, France","Restaurant","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipPHRkzx2Yct8J3cjfzFVmhBgZx3in8G3mKau7z6=w1920-h1080-k-no","false",,"48.8287002","2.3652503","3 Pl. nationale",,,,,,,"false","+33 1 45 83 06 45","ChIJr36aZSdy5kcRAddTio5dOrQ","R9H8+F4 Paris, France","75013","141","772","614","122","9","21","6","2021-08-07T16:52:59.870Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"3 Pl. nationale",,"false","Chez Trassoudaine","4.7","https://www.google.com/maps/place/Chez+Trassoudaine/@48.8287002,2.3630632,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67227659a7eaf:0xb43a5d8e8a53d701!8m2!3d48.8287002!4d2.3652503?hl=fr","cheztrassoudaine.com"
"204 Rue de Tolbiac, 75013 Paris, France","Brasserie","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOGUgrbHb9z4ItqnfNsE7iXy2CQDl3DsrHGgfOj=w1920-h1080-k-no","false",,"48.8259354","2.3467495","204 Rue de Tolbiac",,,,,,,"false","+33 1 53 80 20 04","ChIJQ-qs_plx5kcRt0n0LKh7IE8","R8GW+9V Paris, France","75013","140","833","323","316","28","127","39","2021-08-07T16:53:07.103Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"204 Rue de Tolbiac",,"false","Le Circus","4","https://www.google.com/maps/place/Le+Circus/@48.8259172,2.3450168,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67199feacea43:0x4f207ba82cf449b7!8m2!3d48.8259354!4d2.3467495?hl=fr","le-circus.net-lab.fr"
"47 Rue de Tolbiac, 75013 Paris, France","Brasserie","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipM3MQWO5T0rm2Pd3VvA6b79-r1pqwn-ygFvmXQ-=w1920-h1080-k-no","false",,"48.8275794","2.371315","47 Rue de Tolbiac","thefork.fr","https://www.thefork.fr/restaurant/la-roseraie-r337529?cc=18174-54f",,,,,"false","+33 1 45 83 23 23","ChIJlz4SySVy5kcRFC0Ayt0K_1g","R9HC+2G Paris, France","75013","139","213","78","61","20","44","10","2021-08-07T16:53:14.492Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"47 Rue de Tolbiac",,"false","Brasserie la Roseraie","3.8","https://www.google.com/maps/place/Brasserie+la+Roseraie/@48.8275791,2.3691255,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67225c9123e97:0x58ff0addca002d14!8m2!3d48.8275794!4d2.371315?hl=fr",
"87 Rue Bobillot, 75013 Paris, France","Restaurant","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipPWf5CxkhrJ63Pqf1XxdcCuqDYjLQvhJGllrcer=w1920-h1080-k-no","false",,"48.8250477","2.3497903","87 Rue Bobillot","deliveroo.fr","https://deliveroo.fr/menu/paris/13eme-tolbiac/hype?utm_medium=affiliate&utm_source=google_maps_link",,,,,"false","+33 6 17 57 49 61","ChIJubY1ZJpx5kcRRnNzJTcahhU","R8GX+2W Paris, France","75013","138","37","21","6","4","5","1","2021-08-07T16:53:22.893Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"87 Rue Bobillot",,"false","LE HYPE","4.1","https://www.google.com/maps/place/LE+HYPE/@48.8250456,2.3476058,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6719a6435b6b9:0x15861a3725737346!8m2!3d48.8250477!4d2.3497903?hl=fr",
"104 Av. d'Italie, 75013 Paris, France","Hôtel","Paris","FR","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wKcIp8jE_dOGy4Qo9fiJzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.45938&pitch=0&thumbfov=100","false",,"48.8248563","2.357391","104 Av. d'Italie",,,,,,,"false","+33 9 53 84 79 00","ChIJI5mG7YVx5kcRUjFUJXme8eo","R9F4+WW Paris, France","75013","137","2","0","0","1","1","0","2021-08-07T16:53:29.288Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"104 Av. d'Italie",,"false","Sehrine Youcef","2","https://www.google.com/maps/place/Sehrine+Youcef/@48.8248637,2.3551094,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67185ed869923:0xeaf19e7925543152!8m2!3d48.8248563!4d2.357391?hl=fr",
"5 Rue Van Gogh, 75012 Paris, France","Bar","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipPIo9s4isDaathX_FM6JhgV9PJPh-PGejxKxMk=w1920-h1080-k-no","false",,"48.8439308","2.3711855","5 Rue Van Gogh",,,,,,,"false",,"ChIJD6u0drZz5kcR2h0a3NazekU","R9VC+HF Paris, France","75012","136","123","73","23","17","8","2","2021-08-07T16:53:36.904Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"5 Rue Van Gogh",,"false","Laho","4.1","https://www.google.com/maps/place/Laho/@48.8439308,2.3689968,17z/data=!3m1!4b1!4m5!3m4!1s0x47e673b676b4ab0f:0x457ab3d6dc1a1dda!8m2!3d48.8439308!4d2.3711855?hl=fr","laho-rooftop.fr"
"26 Rue Bobillot, 75013 Paris, France","Restaurant français","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipO9A2bKwyFKVd7P4asxxFZWG5SQROYT1DxxLeEO=w1920-h1080-k-no","false",,"48.828837","2.3531527","26 Rue Bobillot",,,,,,,"false","+33 1 53 80 24 00","ChIJLWjUbq5u5kcRc0RYxcYRpOk","R9H3+G7 Paris, France","75013","135","302","147","88","17","40","10","2021-08-07T16:53:44.575Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"26 Rue Bobillot",,"false","L'Avant-Goût","4.1","https://www.google.com/maps/place/L'Avant-Go%C3%BBt/@48.8288384,2.3509603,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66eae6ed4682d:0xe9a411c6c5584473!8m2!3d48.828837!4d2.3531527?hl=fr","lavantgout.com"
"31 Rue Marie-Andrée Lagroua Weill-Hallé, 75013 Paris, France","Restaurant","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOnBBq6qD6z9TVK1WeGj22WiKmnuq2Gwm1Zlgux=w1920-h1080-k-no","false",,"48.8292055","2.3784518","31 Rue Marie-Andrée Lagroua Weill-Hallé",,,,,,,"false","+33 9 82 31 93 53","ChIJh0f8rtVz5kcRK1jdq0Ig-nM","R9HH+QJ Paris, France","75013","134","37","22","9","0","5","1","2021-08-07T16:53:51.650Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"31 Rue Marie-Andrée Lagroua Weill-Hallé",,"false","Raton Buveur","4.4","https://www.google.com/maps/place/Raton+Buveur/@48.829383,2.3768943,17z/data=!3m1!4b1!4m5!3m4!1s0x47e673d5aefc4787:0x73fa2042abdd582b!8m2!3d48.8292055!4d2.3784518?hl=fr","raton-buveur.fr"
"114 Bd Vincent Auriol, 75013 Paris, France","Restaurant","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipMaz3E1HacZmDFfAlLnmLDZFZzwk1iVzxLcG4Ji=w1920-h1080-k-no","false",,"48.8335569","2.3630276","114 Bd Vincent Auriol",,,,,,,"false","+33 9 88 03 86 08","ChIJ2aIz6Nlx5kcRfvGOjbHOgUc","R9M7+C6 Paris, France","75013","132","5","1","2","1","1","0","2021-08-07T16:53:58.371Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"114 Bd Vincent Auriol",,"false","Le Cygne","3.4","https://www.google.com/maps/place/Le+Cygne/@48.8335535,2.3608307,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671d9e833a2d9:0x4781ceb18d8ef17e!8m2!3d48.8335569!4d2.3630276?hl=fr",
"5 Rue Eugène Freyssinet, 75013 Paris, France","Restaurant italien","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipOoLYVmW-dIQNYDYfJxsg_615iO9RevjPAsMRy7=w1920-h1080-k-no","false",,"48.8323064","2.3727582","5 Rue Eugène Freyssinet",,,,,,,"false",,"ChIJk16wp8Fz5kcRkHv9uQxB30M","R9JF+W4 Paris, France","75013","131","9895","5806","2542","426","767","354","2021-08-07T16:54:06.478Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"5 Rue Eugène Freyssinet",,"false","La Felicità","4.3","https://www.google.com/maps/place/La+Felicit%C3%A0/@48.8323064,2.3705695,17z/data=!3m1!4b1!4m5!3m4!1s0x47e673c1a7b05e93:0x43df410cb9fd7b90!8m2!3d48.8323064!4d2.3727582?hl=fr","lafelicita.fr"
"13 Rue du Pot de Fer, 75005 Paris, France","Restaurant ou café","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipPCrS0XNMpM0wL5CBHV85A7OzbmwFd2HpS1qnjL=w1920-h1080-k-no","false",,"48.8428188","2.3482892","13 Rue du Pot de Fer",,,,,,,"false","+33 1 43 36 61 52","ChIJ6RhAMOlx5kcRsYWuQLygEbg","R8VX+48 Paris, France","75005","130","559","313","164","10","63","9","2021-08-07T16:54:13.907Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"13 Rue du Pot de Fer",,"false","La Montagne Sans Geneviève","4.4","https://www.google.com/maps/place/La+Montagne+Sans+Genevi%C3%A8ve/@48.842796,2.3461013,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e9304018e9:0xb811a0bc40ae85b1!8m2!3d48.8428188!4d2.3482892?hl=fr",
"41 Rue Albert, 75013 Paris, France","Restaurant","Paris","FR","https://lh5.googleusercontent.com/p/AF1QipPRs2TEpcW7ig-h7bJRhajSUEWowVlJXRKYPwyb=w1920-h1080-k-no","false",,"48.8253566","2.3720881","41 Rue Albert",,,,,,,"false","+33 9 61 28 51 07","ChIJdwsffS9y5kcReiR5nnZhACY","R9GC+4R Paris, France","75013","129","161","98","41","2","18","2","2021-08-07T16:54:21.104Z","https://www.google.com/maps/search/bar+a+proximite+de+Paris+13,+Paris/@48.8321282,2.3235824,13z/data=!4m2!2m1!6e5?hl=fr","bar a proximite de Paris 13, Paris",,"41 Rue Albert",,"false","Au Bon Coin - vente à emporter","4.4","https://www.google.com/maps/place/Au+Bon+Coin+-+vente+%C3%A0+emporter/@48.8253628,2.3699006,17z/data=!3m1!4b1!4m5!3m4!1s0x47e6722f7d1f0b77:0x260061769e79247a!8m2!3d48.8253566!4d2.3720881?hl=fr",
